id,created_at,path,method,latency_ms,tokens
1,2025-05-19 12:24:13.591+00,/api/summary/mistral,POST,1.8186,1
2,2025-05-19 12:24:22.043+00,/api/transcribe/assemblyai,POST,4603.9162,1
3,2025-05-19 12:24:27.503+00,/api/transcribe/assemblyai,POST,4522.3658,1
4,2025-05-19 12:24:33.492+00,/api/transcribe/assemblyai,POST,5475.9677,1
5,2025-05-19 12:29:44.856+00,/api/transcribe/assemblyai,POST,4745.6053,1
6,2025-05-19 12:29:50.245+00,/api/transcribe/assemblyai,POST,5175.1666,1
7,2025-05-19 12:29:56.634+00,/api/transcribe/assemblyai,POST,5525.1632,1
8,2025-05-19 12:30:02.559+00,/api/transcribe/assemblyai,POST,5453.456,1
9,2025-05-19 12:30:07.439+00,/api/transcribe/assemblyai,POST,4373.2048,1
10,2025-05-19 12:30:14.509+00,/api/transcribe/assemblyai,POST,5451.0101,1
11,2025-05-19 12:30:18.902+00,/api/transcribe/assemblyai,POST,3840.5345,1
12,2025-05-19 12:30:23.761+00,/api/transcribe/assemblyai,POST,4701.362,1
13,2025-05-19 12:30:29.909+00,/api/transcribe/assemblyai,POST,5841.0626,1
14,2025-05-19 12:30:40.271+00,/api/transcribe/assemblyai,POST,10211.3276,1
15,2025-05-19 12:30:46.608+00,/api/transcribe/assemblyai,POST,5548.4396,1
16,2025-05-19 12:30:51.641+00,/api/transcribe/assemblyai,POST,4577.2563,1
17,2025-05-19 12:31:04.579+00,/api/transcribe/assemblyai,POST,12520.1082,1
18,2025-05-19 12:31:09.427+00,/api/transcribe/assemblyai,POST,4362.6912,1
19,2025-05-19 12:31:27.527+00,/api/transcribe/assemblyai,POST,16468.5571,1
20,2025-05-19 12:31:34.4+00,/api/transcribe/assemblyai,POST,6340.2783,1
21,2025-05-19 12:31:40.806+00,/api/transcribe/assemblyai,POST,5746.6109,1
22,2025-05-19 12:31:46.137+00,/api/transcribe/assemblyai,POST,5077.003,1
23,2025-05-19 12:31:51.119+00,/api/transcribe/assemblyai,POST,4058.9032,1
24,2025-05-19 12:31:55.86+00,/api/transcribe/assemblyai,POST,3789.6949,1
25,2025-05-19 12:32:27.936+00,/api/transcribe/assemblyai,POST,31879.8746,1
26,2025-05-19 12:32:34.095+00,/api/transcribe/assemblyai,POST,6032.3772,1
27,2025-05-19 12:32:40.635+00,/api/transcribe/assemblyai,POST,5576.0334,1
28,2025-05-19 12:32:44.937+00,/api/transcribe/assemblyai,POST,3866.7615,1
29,2025-05-19 12:32:50.074+00,/api/transcribe/assemblyai,POST,5013.8287,1
30,2025-05-19 12:32:56.486+00,/api/transcribe/assemblyai,POST,5413.0631,1
31,2025-05-19 12:33:01.653+00,/api/transcribe/assemblyai,POST,4590.8334,1
32,2025-05-19 12:33:06.892+00,/api/transcribe/assemblyai,POST,4833.4574,1
33,2025-05-19 12:33:12.308+00,/api/transcribe/assemblyai,POST,5241.6987,1
34,2025-05-19 12:33:17.825+00,/api/transcribe/assemblyai,POST,4767.0632,1
35,2025-05-19 12:33:23.585+00,/api/transcribe/assemblyai,POST,5524.141,1
36,2025-05-19 12:33:29.269+00,/api/transcribe/assemblyai,POST,5208.9755,1
37,2025-05-19 12:33:34.969+00,/api/transcribe/assemblyai,POST,4912.267,1
38,2025-05-19 12:33:40.517+00,/api/transcribe/assemblyai,POST,5456.7665,1
39,2025-05-19 12:33:47.491+00,/api/transcribe/assemblyai,POST,6430.6802,1
40,2025-05-19 12:33:54.85+00,/api/transcribe/assemblyai,POST,6778.36,1
41,2025-05-19 12:34:00.433+00,/api/transcribe/assemblyai,POST,5373.3954,1
42,2025-05-19 12:34:04.705+00,/api/transcribe/assemblyai,POST,3646.7255,1
43,2025-05-19 12:34:17.408+00,/api/transcribe/assemblyai,POST,12346.1129,1
44,2025-05-19 12:34:23.481+00,/api/transcribe/assemblyai,POST,5408.4393,1
45,2025-05-19 12:34:29.292+00,/api/transcribe/assemblyai,POST,5232.1316,1
46,2025-05-19 12:34:34.976+00,/api/transcribe/assemblyai,POST,4916.1662,1
47,2025-05-19 12:34:40.431+00,/api/transcribe/assemblyai,POST,5370.7984,1
48,2025-05-19 12:34:43.009+00,/api/summary/mistral,POST,2536.8711,452
49,2025-05-19 12:34:48.595+00,/api/transcribe/assemblyai,POST,5507.5032,1
50,2025-05-19 12:34:52.87+00,/api/transcribe/assemblyai,POST,3810.4257,1
51,2025-05-19 12:34:57.091+00,/api/transcribe/assemblyai,POST,4032.6097,1
52,2025-05-19 12:35:03.481+00,/api/transcribe/assemblyai,POST,5419.0596,1
53,2025-05-19 12:35:09.561+00,/api/transcribe/assemblyai,POST,5496.6236,1
54,2025-05-19 12:35:16.515+00,/api/transcribe/assemblyai,POST,6454.0902,1
55,2025-05-19 12:35:21.229+00,/api/transcribe/assemblyai,POST,4170.444,1
56,2025-05-19 12:35:24.832+00,/api/suggestions/mistral,POST,17920.4806,291
57,2025-05-19 12:35:26.099+00,/api/transcribe/assemblyai,POST,4034.8126,1
58,2025-05-19 12:35:31.954+00,/api/transcribe/assemblyai,POST,4885.3867,1
59,2025-05-19 12:35:37.329+00,/api/transcribe/assemblyai,POST,5266.3347,1
60,2025-05-19 12:36:04.116+00,/api/summary/mistral,POST,7961.4311,385
